name,sex,house,killedBy,image
Lothar Frey,male,Frey,Arya Stark,https://images-na.ssl-images-amazon.com/images/M/MV5BMDc0NDA3YmYtZTNjYi00ZDExLWE2NTUtNzk5NjI3MGI3NzM0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Loyal Night's Watchman #1,male,NA,NA,NA
Loyal Night's Watchman #2,male,NA,NA,NA
Mace Tyrell,male,Tyrell,Cersei Lannister,https://images-na.ssl-images-amazon.com/images/M/MV5BNTcyZWFjZjItYmI4NS00ZDE2LTg4Y2YtYWJkYWI5MWJlNWFjXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Maester Aemon,male,Targaryen,Old Age,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI4NDY4MzI5NV5BMl5BanBnXkFtZTcwMTk0ODg5NA@@._V1._SX100_SY140_.jpg
Maester Caleotte,male,NA,NA,NA
Maester Cressen,male,NA,Maester Cressen,https://images-na.ssl-images-amazon.com/images/M/MV5BYjFmNDZjM2YtMGRkMy00NWM2LThjNWUtYzFkZGRjMjk0YWZlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Maester Luwin,male,NA,Osha,https://images-na.ssl-images-amazon.com/images/M/MV5BYjk0MmZiNmUtMTljMy00MmY1LTg1ODgtY2FkMjczMjI4ZWQzXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Maester Sandhu,male,NA,NA,NA
Maester Wolkan,male,NA,NA,NA
Mag the Mighty,male,NA,Grenn/Donnel Hill/Cooper,https://images-na.ssl-images-amazon.com/images/M/MV5BMDI5NjYzMDMtMmNkOC00MDA4LWI1OTctN2EzYzQ2ZmNiZWYwXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1._SX100_SY140_.jpg
Mag the Mighty Wight,male,NA,NA,NA
Mago,male,NA,Khal Drogo,https://images-na.ssl-images-amazon.com/images/M/MV5BNjdmM2ZlMTQtOGRlMy00NzAyLWE0MWYtM2JiMjNlNjA3MDU2XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1._SX100_SY140_.jpg
Malko,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BZmUwYTA2YjUtZWU5Zi00OTY1LTlhYjMtOGRhMDZlNTEyOTEzXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Mallister Supporter,male,NA,NA,NA
Man of the Nightswatch,male,NA,NA,NA
Mance Rayder,male,NA,Melisandre/Jon Snow,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NzQyNjAwNF5BMl5BanBnXkFtZTcwODcyMTEwOQ@@._V1._SX100_SY140_.jpg
Mandon Moore,male,NA,Podrick Payne,NA
Manservant,male,NA,NA,NA
Marillion,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BNDVlZmU0NmYtOGM1MS00N2E0LTgxYTYtNTBhZDk1ZTM4M2ViXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Martyn Lannister,male,Lannister,Rickard Karstark,NA
Master Torturer,male,NA,NA,NA
Matthos Seaworth,male,NA,Bronn,https://images-na.ssl-images-amazon.com/images/M/MV5BMTBlYmZlMGEtMzg5Yy00OGFjLWE3Y2MtNjc2NTViN2ExNzM3XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1._SX100_SY140_.jpg
Merchant Captain,male,NA,Obara Sand,NA
Mero,male,NA,Daario Naharis,https://images-na.ssl-images-amazon.com/images/M/MV5BZmUzODdkZTQtOTAxZC00MjI5LWFmZjctZDYyYTVlNzMxMjdiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Meryn Trant,male,NA,Arya Stark,https://images-na.ssl-images-amazon.com/images/M/MV5BNTVjYTRhZWMtM2QwOC00MmYyLTk3ZjAtYmI1ZTlhNmQ3NzE0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Mord,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BOGIzMmRlOWEtMjUwYy00OGM1LTkwNDEtZTlmODNkMWY4MWU3XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Morgan,male,NA,NA,NA
Morgan's Friend,male,NA,NA,NA
Mossador,male,NA,Daario Naharis,https://images-na.ssl-images-amazon.com/images/M/MV5BMGYxZjVkOGEtMWI0NS00ODc3LTlkMzUtMGFkNzJlMDc1MGY4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Mully,male,NA,NA,NA
Mummer #2,male,NA,NA,NA
Mummer #3,male,NA,NA,NA
Mummer #4,male,NA,NA,NA
Musician #1,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BODA5NjA3ODY1NF5BMl5BanBnXkFtZTgwNzA5ODY2MTE@._V1._SX100_SY140_.jpg
Musician #1,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BODA5NjA3ODY1NF5BMl5BanBnXkFtZTgwNzA5ODY2MTE@._V1._SX100_SY140_.jpg
Musician #2,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BODA5NjA3ODY1NF5BMl5BanBnXkFtZTgwNzA5ODY2MTE@._V1._SX100_SY140_.jpg
Musician #2,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BODA5NjA3ODY1NF5BMl5BanBnXkFtZTgwNzA5ODY2MTE@._V1._SX100_SY140_.jpg
Musician #3,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BODA5NjA3ODY1NF5BMl5BanBnXkFtZTgwNzA5ODY2MTE@._V1._SX100_SY140_.jpg
Musician #3,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BODA5NjA3ODY1NF5BMl5BanBnXkFtZTgwNzA5ODY2MTE@._V1._SX100_SY140_.jpg
Musician #4,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BODA5NjA3ODY1NF5BMl5BanBnXkFtZTgwNzA5ODY2MTE@._V1._SX100_SY140_.jpg
Musician #5,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BODA5NjA3ODY1NF5BMl5BanBnXkFtZTgwNzA5ODY2MTE@._V1._SX100_SY140_.jpg
Mycah,male,NA,Sandor Clegane,https://images-na.ssl-images-amazon.com/images/M/MV5BMmE5NjdjMzktZTYwNy00MzdhLWI2MjktNTUwNjA4OTA4MTAxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Ned Umber,male,Umber,The Night King,NA
Newborn Bolton,male,NA,NA,NA
Night's Watchman,male,NA,NA,NA
Night's Watchman,male,NA,NA,NA
Night's Watchman,male,NA,NA,NA
Night's Watchman #1,male,NA,NA,NA
Night's Watchman #2,male,NA,NA,NA
Night's Watchman #2,male,NA,NA,NA
Northern Guard,male,NA,NA,NA
Northern Lord,male,NA,NA,NA
Northman Rioter,male,NA,NA,NA
Oberyn Martell,male,Martell,Gregor Clegane,https://images-na.ssl-images-amazon.com/images/M/MV5BZTJmYjViYjctYTU0My00NTJiLWE2YzUtOWZkNTg4MTZkZmEyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Old Man,male,NA,NA,NA
Olly,male,NA,Jon Snow,https://images-na.ssl-images-amazon.com/images/M/MV5BOWFiYTRlMzMtMmQzZC00Y2UxLTgzMzAtZGEzOTlkMGRiODBkXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Olyvar,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BOTZiNDAwYzQtMGJkZi00OGM4LTg2OTgtNzFjZTM1ZGExMzNiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Orell,male,NA,Jon Snow,https://images-na.ssl-images-amazon.com/images/M/MV5BOTQ1NDAzODQtNzAzMy00MDRhLTkwMWItZTNmMWJmN2I5MTlmXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Orphan Kid,male,NA,NA,NA
Othell Yarwyck,male,NA,Jon Snow,https://images-na.ssl-images-amazon.com/images/M/MV5BNDgzYzhkZWYtYTA3OS00ZTk5LTgwYTUtNThiMDFmNjBmZmIxXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Othor,male,NA,White Walker/Jon Snow,NA
Oznak zo Pahl,male,NA,NA,NA
Petyr Baelish,male,NA,Arya Stark,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1MjE3OTc3M15BMl5BanBnXkFtZTcwODgzODg4OQ@@._V1._SX100_SY140_.jpg
Pit Announcer,male,NA,NA,NA
Podrick Payne,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BNTU5NjczOTQyNl5BMl5BanBnXkFtZTcwMzMwNTk4OQ@@._V1._SX100_SY140_.jpg
Polliver,male,NA,Arya Stark,https://images-na.ssl-images-amazon.com/images/M/MV5BY2EwODU4ZGMtZGVkZi00ZjE4LTlhZTItNzNjNGZiM2UxZTc1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Prendahl na Ghezn,male,NA,Daario Naharis,https://images-na.ssl-images-amazon.com/images/M/MV5BYzkyZDYyNGYtNDEyNC00NTQ2LWI4N2MtNmM0YzcwOTc1ODRlXkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1._SX100_SY140_.jpg
Protestor,male,NA,NA,NA
Pyat Pree,male,NA,Drogon/Viserion/Rhaegal,https://images-na.ssl-images-amazon.com/images/M/MV5BYmMzZmVkMTItNmY3Yy00MDU2LThmNTctOWJmYTNhMThhNTRlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Pypar,male,NA,Ygritte,https://images-na.ssl-images-amazon.com/images/M/MV5BNTFiNTIxY2MtY2ExOC00NjM1LTg0MGEtYzUzYzA0YzIyY2VjXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Qhono,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMGMwYjgwMGQtOGRlNC00NDg0LTliM2ItN2I1NzIxZmQ5YTU1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Qhorin Halfhand,male,NA,Jon Snow,https://images-na.ssl-images-amazon.com/images/M/MV5BODM1MzJmZmUtZWI2MS00YjliLWJhNTItZmMzNmQ1YzA0ZjlmXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Qotho,male,NA,Jorah Mormont,https://images-na.ssl-images-amazon.com/images/M/MV5BOWFjY2Y4NTgtZjQ5OS00YjM0LWI3OTItMWYyM2QzYjQyODk1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Quent,male,NA,NA,NA
Qyburn,male,NA,Gregor Clegane,https://images-na.ssl-images-amazon.com/images/M/MV5BZGEzNDY2YjktMDM1ZS00MTI1LWEyYmMtNTdiMzczNmY4ZWEzXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Rakharo,male,NA,Khal Jhaqo's Khalasar,https://images-na.ssl-images-amazon.com/images/M/MV5BNzU2OWU5YzQtMTM1YS00ZDBjLWJlOTUtODg5ZTJlNjU5MTIyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Ralf Kenning,male,NA,NA,NA
Ramsay Snow,male,Bolton,Ramsay Snow's Hounds,https://images-na.ssl-images-amazon.com/images/M/MV5BMzM5Nzk3NTU5N15BMl5BanBnXkFtZTgwNzczMjk5NTE@._V1._SX100_SY140_.jpg
Randyll Tarly,male,NA,Daenerys Targaryen,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIwMTY0NTc4N15BMl5BanBnXkFtZTgwNTMyNzYwOTE@._V1._SX100_SY140_.jpg
Rast,male,NA,Ghost,https://images-na.ssl-images-amazon.com/images/M/MV5BYzI5NjQ3ZTctODgyYi00ZTZhLTk2M2EtM2E3MzYxNDBkMWU5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Rattleshirt,male,NA,Tormund Giantsbane,https://images-na.ssl-images-amazon.com/images/M/MV5BYzk1ZDA3YjktMWZhMi00MTA4LTk0YjItY2ZmMDRlZDY3MmM2XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Razdal mo Eraz,male,NA,Grey Worm,https://images-na.ssl-images-amazon.com/images/M/MV5BODdjNzdkYWQtZmE1OS00YzcxLTljMTctNWZmMDI3OTAzZmZiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Red Keep Stableboy,male,NA,Arya Stark,https://images-na.ssl-images-amazon.com/images/M/MV5BZjA0NGQzMmQtZTdlMi00Y2Q5LWE1N2ItNGNhODdmZDAxZTg3XkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1._SX100_SY140_.jpg
Reginald Lannister,male,NA,NA,NA
Renly Baratheon,male,Baratheon,Melisandre,https://images-na.ssl-images-amazon.com/images/M/MV5BNjA4OTE5MzcyOF5BMl5BanBnXkFtZTcwNDA1ODg5NA@@._V1._SX100_SY140_.jpg
Rennick,male,NA,NA,NA
Rhaegal,male,Targaryen,Euron Greyjoy,NA
Rhaegar Targaryen,male,Targaryen,Robert Baratheon,NA
Rhaego,male,NA,Mirri Maz Duur,NA
Rickard Karstark,male,NA,Robb Stark,https://images-na.ssl-images-amazon.com/images/M/MV5BM2IwZThkNjQtYzU2NS00ZTRiLWFjNDUtNTdmMGQ2ZmE5M2NmXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Rickard Stark,male,Stark,Aerys II Targaryen,NA
Rickon Stark,male,Stark,Ramsay Snow,https://images-na.ssl-images-amazon.com/images/M/MV5BMWZiOGNjMDAtOTRlNi00MDJmLWEyMTMtOGEwZTM5ODJlNDAyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Riddell,male,NA,NA,NA
Riverlands Traveller,male,NA,NA,NA
Robb Stark,male,Stark,Roose Bolton,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI2NDE1NzczNF5BMl5BanBnXkFtZTcwNjcwODg4OQ@@._V1._SX100_SY140_.jpg
Robert Baratheon,male,Baratheon,Boar,https://images-na.ssl-images-amazon.com/images/M/MV5BMzQwMDcwNzY5MF5BMl5BanBnXkFtZTcwMzIyMTE5OQ@@._V1._SX100_SY140_.jpg
Robett Glover,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMDYwNzhkZjctMzdlOS00MTAxLWE3ODktOTc2ODczMmJmNjkwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Robin Arryn,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BNjBlNzE3YjEtMTcwYS00OTQxLTk1NjEtNGMwNzJhNWI2OGJjXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Rodrik Cassel,male,NA,Theon Greyjoy,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4NDk5MjAwMF5BMl5BanBnXkFtZTcwNTk1NDk4OQ@@._V1._SX100_SY140_.jpg
Roose Bolton,male,Bolton,Ramsay Snow,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyMjE3MTExN15BMl5BanBnXkFtZTcwMTI3NDk4OQ@@._V1._SX100_SY140_.jpg
Rorge,male,NA,Arya Stark,https://images-na.ssl-images-amazon.com/images/M/MV5BZjE4Mjc3MTktMDYyOC00ZDVlLWJlNjMtYzFiMDFlYzg3MjJjXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Royal Steward,male,NA,NA,NA
Ryger Rivers,male,NA,NA,NA
Sailor,male,NA,NA,NA
Salladhor Saan,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMzIyNzg3MDktM2M3OS00YzUzLTk2ZjktMGMxY2Y5Y2IyMGVhXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Samwell Tarly,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQyODYyOTczMF5BMl5BanBnXkFtZTcwNjY0ODg4OQ@@._V1._SX100_SY140_.jpg
Sandor Clegane,male,NA,Sandor Clegane,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwMjEwNDQ1MF5BMl5BanBnXkFtZTcwMzAxODg4OQ@@._V1._SX100_SY140_.jpg
Second Son,male,NA,NA,NA
Sellsword #1,male,NA,NA,NA
Sellsword #2,male,NA,NA,NA
Septon,male,NA,NA,NA
Septon,male,NA,NA,NA
Ser Endrew Tarth,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMjJmYzRlZTUtODkwNS00OTE4LTllYWUtOTdiMGQ1MTE2MTU4XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Shagga,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BY2Y1YTI2YTMtY2E3Ny00OTliLTg2MWYtMTFlYWU3ZjAyYzFiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Shaggydog,male,Stark,Smalljon Umber,NA
Silk King,male,NA,Pyat Pree,https://images-na.ssl-images-amazon.com/images/M/MV5BYTA3YTFlMDAtNzIxNy00NGQzLWJlMjYtZGY3MjdmNThjMGIwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Simpson,male,NA,NA,NA
Singing Lannister Soldier,male,NA,NA,NA
Slaver,male,NA,NA,NA
Smalljon Umber,male,NA,Tormund Giantsbane,https://images-na.ssl-images-amazon.com/images/M/MV5BNzViODI3ZTctMjZmNC00MzBhLWIxNTgtMDAzMTQ5OWM3YjE2XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Soldier Tom,male,NA,NA,NA
Son of the Harpy,male,NA,NA,NA
Sorcerer,male,NA,NA,NA
Sparring Boy,male,NA,NA,NA
Spice King,male,NA,Pyat Pree,https://images-na.ssl-images-amazon.com/images/M/MV5BYTA4NWE5ZDgtNjQ0Ni00YmUxLWJhZTgtOTRmY2U0YzI3YmE2XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Stannis Baratheon,male,Baratheon,Brienne of Tarth,https://images-na.ssl-images-amazon.com/images/M/MV5BMjExNzY0NzI0NF5BMl5BanBnXkFtZTcwNjA2NDk4OQ@@._V1._SX100_SY140_.jpg
Stark Messenger,male,NA,NA,NA
Stark Soldier,male,NA,NA,NA
Steelshanks Walton,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMjIxOWYwYTctNjFlMy00MmUyLWI4MWYtZjhkMzNhYjI5YzQ1XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Steve,male,NA,NA,NA
Stevron Frey,male,Frey,NA,NA
Stiv,male,NA,Theon Greyjoy,https://images-na.ssl-images-amazon.com/images/M/MV5BYjFhYzE5NGYtMWM5Zi00YjAyLWI4YTktNDhhYTE1NGFhZjgwXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Stone Man,male,NA,NA,NA
Street Tough #1,male,NA,NA,NA
Street Tough #2,male,NA,NA,NA
Street Urchin,male,NA,NA,NA
Strong Sam Stone,male,NA,NA,NA
Styr,male,NA,Jon Snow,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyNDM4Mjc1M15BMl5BanBnXkFtZTgwODQyMTg1MTE@._V1._SX100_SY140_.jpg
Summer,male,Stark,Wights,NA
Syrio Forel,male,NA,Meryn Trant,https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2OTA3NDY5Nl5BMl5BanBnXkFtZTcwMDg0ODg5NA@@._V1._SX100_SY140_.jpg
Ternesio Terys,male,NA,NA,NA
The Bear,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMzE0ODQyNzYtZjc4NC00ZmM5LWI5NTgtOTk2OWQ5NjY3ZmVkXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1._SX100_SY140_.jpg
The Night King,male,NA,Arya Stark,https://images-na.ssl-images-amazon.com/images/M/MV5BY2ZjNmYyMjAtNGUwYi00N2JmLWEyMTYtMDM5YmM2MWFhMWFiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1._SX100_SY140_.jpg
The Tickler,male,NA,Jaqen H'ghar,https://images-na.ssl-images-amazon.com/images/M/MV5BNTRiZjdkNTctMzM3ZC00NDJjLWI1MjctNTdjZjFlYjNiOTMxXkEyXkFqcGdeQXVyMjg2MTMyNTM@._V1._SX100_SY140_.jpg
Thenn Warg,male,NA,Samwell Tarly,NA
Theon Greyjoy,male,Greyjoy,The Night King,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3ODUyOTY3N15BMl5BanBnXkFtZTcwNjI4MTg4OQ@@._V1._SX100_SY140_.jpg
Thin Man,male,NA,NA,NA
Thoros of Myr,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNzc0MDUzNF5BMl5BanBnXkFtZTcwMDc1NzE5OQ@@._V1._SX100_SY140_.jpg
Three-Eyed Raven,male,NA,The Night King,https://images-na.ssl-images-amazon.com/images/M/MV5BOGI4NGRiNTUtM2ZlYy00ZjhlLWJlYWItMjgzNWIzYWQwZWY0XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Timett,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5MjU1NzA1NF5BMl5BanBnXkFtZTcwOTA2Nzk1NQ@@._V1._SX100_SY140_.jpg
Tobho Mott,male,NA,NA,NA
Todder,male,NA,NA,NA
Tomard,male,NA,NA,NA
Tommen Baratheon,male,Baratheon,Tommen Baratheon,https://images-na.ssl-images-amazon.com/images/M/MV5BOTY1YWUxM2QtZjhmZC00ZmQ2LThkM2YtNTk2MmQ5OTk3NGMyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Tommen's Manservant,male,NA,NA,NA
Tormund Giantsbane,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc1OTU3NjUzNF5BMl5BanBnXkFtZTcwNDE0NzE5OQ@@._V1._SX100_SY140_.jpg
Torrhen Karstark,male,NA,NA,NA
Tortured Prisoner,male,NA,NA,NA
Tortured Slave,male,NA,NA,NA
Trystane Martell,male,Martell,Obara Sand,"https://m.media-amazon.com/images/M/MV5BODkzNjY0NTA0MV5BMl5BanBnXkFtZTgwNjc1NDE3NTE@._V1_SX100_CR0,0,100,100_AL_.jpg"
Tully Bannerman,male,NA,NA,NA
Tycho Nestoris,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BOTFjYWJjZTEtM2Y1Zi00YzE0LTkzOTItZGZkNzM2YjBiNjg5XkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Tyrell Guard,male,NA,NA,NA
Tyrell Servant,male,NA,NA,NA
Tyrion Lannister,male,Lannister,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMjA2MDAwOTI0OV5BMl5BanBnXkFtZTcwNjA3NDg1Nw@@._V1._SX100_SY140_.jpg
Tywin Lannister,male,Lannister,Tyrion Lannister,https://images-na.ssl-images-amazon.com/images/M/MV5BOTA4ODMxMzE1OV5BMl5BanBnXkFtZTcwMTM0ODg4OQ@@._V1._SX100_SY140_.jpg
Unsullied,male,NA,NA,NA
Unsullied Soldier,male,NA,NA,NA
Valyrian Slave,male,NA,NA,NA
Vance Corbray,male,NA,NA,NA
Vardis Egen,male,NA,Bronn,https://images-na.ssl-images-amazon.com/images/M/MV5BMzg1Y2NiYTYtNDY0Yi00OGMwLWJjZjktZDVlNDE1Y2M3MTMzXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Varly,male,NA,Goldcloak,NA
Vayon Poole,male,NA,NA,NA
Viserion,male,Targaryen,The Night King/Arya Stark,NA
Viserys Targaryen,male,Targaryen,Khal Drogo,https://images-na.ssl-images-amazon.com/images/M/MV5BMTgwNzIxMTU1OV5BMl5BanBnXkFtZTcwNzI2ODg5NA@@._V1._SX100_SY140_.jpg
Walder Frey,male,Frey,Arya Stark,https://images-na.ssl-images-amazon.com/images/M/MV5BYzU0YzZjMTktZDA2Ni00YTRhLWFkZTgtOTQ4Yjg2MmQ2OGUzXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Wallen,male,NA,Robb Stark,NA
Warlock,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMzE0NjExMGMtYjJlOC00MWI4LTg5MTgtYTIzZTgxZjc2NDAyXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Waymar Royce,male,NA,White Walker,https://images-na.ssl-images-amazon.com/images/M/MV5BYzE1Y2EwN2QtMzMzZS00MDZkLTg4ZjItN2NkNGNkYjAzZGVlXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Wendel Manderly,male,NA,NA,NA
Westerosi Trader,male,NA,NA,NA
White Rat,male,NA,NA,NA
White Walker,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BMjYzNDMyZWUtMDVlMy00OGQxLWFkZTctOWMxZDk1MDA5MmQzXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
White Walker,male,NA,Samwell Tarly,https://images-na.ssl-images-amazon.com/images/M/MV5BMjYzNDMyZWUtMDVlMy00OGQxLWFkZTctOWMxZDk1MDA5MmQzXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
White Walker,male,NA,Jon Snow,https://images-na.ssl-images-amazon.com/images/M/MV5BMjYzNDMyZWUtMDVlMy00OGQxLWFkZTctOWMxZDk1MDA5MmQzXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
Wildling Rioter,male,NA,NA,NA
Will,male,NA,Eddard Stark,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0NjU2MjIzNF5BMl5BanBnXkFtZTgwNzEyODI1MDI@._V1_SY100_CR16,0,100,100_AL_.jpg"
Willem Lannister,male,Lannister,Rickard Karstark,NA
Wine Merchant,male,NA,NA,NA
Winter Town Man,male,NA,NA,NA
Winterfell Shepherd,male,NA,NA,NA
Wounded Lannister Soldier,male,NA,NA,NA
Wun Wun,male,NA,Ramsay Snow/Lyanna Mormont,https://images-na.ssl-images-amazon.com/images/M/MV5BNTFjMTczNTQtNzE5MC00ZTI1LWI0ZGMtMTA4NGU2ZGQ5ZjRkXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1._SX100_SY140_.jpg
Wun Wun Wight,male,NA,NA,NA
Wyllis,male,NA,NA,NA
Wyman Manderly,male,NA,NA,NA
Xaro Xhoan Daxos,male,NA,Daenerys Targaryen,https://images-na.ssl-images-amazon.com/images/M/MV5BMTU3NTA5NDA3NF5BMl5BanBnXkFtZTcwNzY2NDg1Nw@@._V1._SX100_SY140_.jpg
Yezzan zo Qaggaz,male,NA,NA,https://images-na.ssl-images-amazon.com/images/M/MV5BZDgyOTFhMzktNWE5MS00YTY3LTk0YTYtMjkyMjFkODIxOTJiXkEyXkFqcGdeQXVyMjk3NTUyOTc@._V1._SX100_SY140_.jpg
